,PetID,sentiment_document_score,sentiment_document_magnitude
0,e6ff63097,0.3,1.2
1,14831f659,-0.4,0.4
2,065906a54,0.2,1.7
3,03aae5768,0.5,1.1
4,e4dd90768,0.5,2.9
5,f222ca167,0.6,1.8
6,f5768c4e2,0.3,1.1
7,df5f12e58,0.1,3.7
8,c675f3b10,0.0,2.7
9,4470adc62,0.3,0.7
10,5fc91ab6b,0.3,1.2
11,543130f60,0.4,3.7
12,88030e16e,0.2,0.6
13,9868c3935,0.3,4.9
14,a0124e47a,0.2,10.6
15,adb33dd61,0.9,0.9
16,5906e36c5,0.1,3.4
17,869a1634e,0.4,1.9
18,e945a1e04,0.4,1.8
19,0a796c967,0.3,2.7
20,71cc0a02e,0.0,0.9
21,64070899d,-0.8,0.8
22,1ffb40e20,0.0,0.5
23,d0aa84916,0.0,0.2
24,cde5f25db,0.3,1.3
25,233aeb07c,0.4,0.8
26,f749cd744,0.4,1.9
27,cb492add6,0.1,3.5
28,35bbb3a85,0.3,0.6
29,df2d9957f,0.4,2.9
30,937c2e14f,0.4,2.5
31,4a8f49ac8,0.1,1.3
32,eed29a312,0.5,3.7
33,aaa9c8e09,0.2,1.3
34,f26f1acb2,0.0,2.0
35,06cd6c623,0.6,1.8
36,c8b79357a,-0.1,0.7
37,f527634f7,0.7,1.4
38,9f01beeef,0.5,1.1
39,62d911513,0.5,4.2
40,d13d93f69,0.0,1.5
41,04dc94c39,0.0,3.3
42,081c0a12d,0.2,3.3
43,cbb64ed77,0.2,5.0
44,528115548,0.4,0.9
45,71cb2e2d0,0.1,4.0
46,1bbadc050,0.2,3.0
47,b3995ad50,0.5,1.6
48,cc5892ce1,0.0,0.5
49,97aa9eeac,0.1,0.9
50,59097271b,0.0,6.6
51,79186dded,0.3,1.3
52,ecba82fc3,0.2,6.8
53,6a4a4b403,0.1,1.6
54,467faacc0,0.6,0.6
55,debec416c,0.2,0.2
56,92fa4a896,0.2,0.2
57,70a90deaf,0.1,2.2
58,f2ff942f1,0.0,3.8
59,dffb9869f,0.4,1.4
60,b4d16b6f6,0.3,3.1
61,af005c575,0.4,2.3
62,86219b4fe,0.1,1.5
63,bb76bfc79,0.4,2.2
64,27dd38817,0.5,3.8
65,3da55a076,0.2,3.3
66,fd820a71a,0.5,4.3
67,318f45a57,0.3,2.5
68,84fdd34c7,0.5,4.7
69,f27a94272,0.9,2.8
70,96c93dcc0,0.8,0.8
71,b0d64a249,0.4,1.6
72,125522846,-0.1,3.4
73,0995bd489,0.2,1.2
74,7ba9cb4a0,0.2,1.1
75,193781ef0,0.1,1.3
76,0fd78af13,0.3,0.9
77,8bda483ec,0.5,1.1
78,9adf0f234,0.8,4.4
79,0ce866a04,0.9,1.9
80,bea6f651c,0.2,0.8
81,c7a324d3d,0.1,5.1
82,1c7a27088,0.7,1.4
83,046d3a9d9,0.0,0.0
84,92935062a,0.5,1.6
85,49310cec4,0.3,2.0
86,078a26f06,-0.1,0.1
87,2400b537a,0.3,1.2
88,aa11bee11,0.1,3.6
89,307c5ca84,0.2,2.8
90,6326e5387,0.5,6.8
91,d83dd7fc2,0.5,3.3
92,85a0bad4f,0.1,0.1
93,aa741b626,0.0,1.9
94,6460390c0,0.1,0.1
95,19bdaed52,0.1,1.3
96,92bf36222,0.3,4.4
97,a4c99a552,0.7,1.4
98,4b378329b,0.9,0.9
99,e9e263ee2,0.2,4.0
100,ebef2903c,0.2,1.0
101,be0635ef2,0.7,4.3
102,4f5fd467a,0.5,0.5
103,3d985e1bf,0.0,0.0
104,f3551e91f,0.4,3.5
105,8e4f0e111,0.1,1.2
106,a2ae5fa7d,0.7,1.4
107,f14c5a335,0.1,10.0
108,4b29bbd04,0.2,1.0
109,11a3fb06e,0.2,0.2
110,172d395a5,0.0,0.0
111,c042fa2d5,0.6,1.3
112,ac3a5c473,0.0,1.1
113,66f430d36,0.5,2.3
114,49f12d27b,0.7,4.5
115,3f4fff7b2,0.3,2.6
116,773d10217,0.8,1.7
117,0e56a693b,0.0,5.9
118,e8a1f3d1b,0.3,0.7
119,da2cbec0f,0.0,0.7
120,6258b0d76,0.3,5.4
121,a1fb1b5bb,0.5,2.1
122,4427541c0,0.1,2.4
123,da424cdd7,0.0,0.4
124,8e372fc09,0.4,5.5
125,d72bc7206,0.9,0.9
126,36010cec4,0.2,6.0
127,69c8c9463,0.0,4.8
128,3c4b478e1,0.4,2.1
129,a9fdc3e4a,0.5,2.3
